sku,title,category,price,stock,description,image_url
AUR-029,Falda Mini Cuero Vegano Chocolate,Pantalones y Faldas,39.00,15,"Minifalda de corte recto en piel sintética prémium color marrón chocolate.",https://images.unsplash.com/photo-1576995853123-5a10305d93c0?auto=format&fit=crop&w=800&q=80
AUR-030,Jeans Mom Fit Raw Denim,Pantalones y Faldas,48.00,18,"Jeans mom fit clásicos en tono azul índigo profundo sin desgaste.",https://images.unsplash.com/photo-1582418702059-97ebafb35d09?auto=format&fit=crop&w=800&q=80
AUR-031,Blazer Oversize Lana Fría Camel,Abrigos y Blazers,85.00,10,"Chaqueta blazer de corte masculino amplio con hombreras estructuradas en tono camello.",https://images.unsplash.com/photo-1591047139829-d91aecb6caea?auto=format&fit=crop&w=800&q=80
AUR-032,Trench Coat Clásico Doble Botonadura,Abrigos y Blazers,110.00,8,"Gabardina impermeable tradicional con forro satinado y cinturón con hebilla de carey.",https://images.unsplash.com/photo-1544923246-77307dd654cb?auto=format&fit=crop&w=800&q=80
AUR-033,Blazer Corto Cropped Crema,Abrigos y Blazers,65.00,12,"Blazer cropped a la cintura ideal para combinar con pantalones de tiro alto.",https://images.unsplash.com/photo-1539109136881-3be0616acf4b?auto=format&fit=crop&w=800&q=80
AUR-034,Cárdigan Punto Grueso Tostado,Abrigos y Blazers,48.00,16,"Chaqueta de punto grueso estilo artesanal con grandes botones frontales de resina.",https://images.unsplash.com/photo-1434389677669-e08b4cac3105?auto=format&fit=crop&w=800&q=80
AUR-035,Cazadora Biker Cuero Vegano Negro,Abrigos y Blazers,78.00,14,"Chaqueta motera clásica con cremalleras plateadas asimétricas y solapas con broche.",https://images.unsplash.com/photo-1551028719-00167b16eac5?auto=format&fit=crop&w=800&q=80
AUR-036,Kimono Seda Estampado Oriental,Abrigos y Blazers,58.00,9,"Kimono largo fluido con ribete contrastante y lazo desmontable en seda sintética.",https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?auto=format&fit=crop&w=800&q=80
AUR-037,Chaleco Sastre Espalda Descubierta,Abrigos y Blazers,42.00,15,"Chaleco de vestir entallado con botones frontales y detalle halter cruzado atrás.",https://images.unsplash.com/photo-1502716119720-b23a93e5fe1b?auto=format&fit=crop&w=800&q=80
AUR-038,Sobrecamisa Pana Gruesa Oliva,Abrigos y Blazers,54.00,12,"Chaqueta casual de pana ancha con bolsillos en el pecho y tacto aterciopelado.",https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?auto=format&fit=crop&w=800&q=80
AUR-039,Poncho Alpaca Flecos Gris Marengo,Abrigos y Blazers,62.00,7,"Poncho envolvente de lana suave con flecos trenzados a mano en color gris oscuro.",https://images.unsplash.com/photo-1485968579580-b6d095142e6e?auto=format&fit=crop&w=800&q=80
AUR-040,Bomber Satinada Verde Militar,Abrigos y Blazers,69.00,11,"Chaqueta bomber ligera con brillo satinado, cuello canalé y cremallera dorada.",https://images.unsplash.com/photo-1544441893-675973e31985?auto=format&fit=crop&w=800&q=80
AUR-041,Bolso Tote Piel Grabada Cuero,Bolsos y Carteras,75.00,10,"Bolso grande de hombro con textura estilo cocodrilo y compartimento interior para laptop.",https://images.unsplash.com/photo-1584917865442-de89df76afd3?auto=format&fit=crop&w=800&q=80
AUR-042,Bandolera Media Luna Terracota,Bolsos y Carteras,48.00,15,"Bolso cruzado en forma de media luna con correa ajustable y cierre magnético.",https://images.unsplash.com/photo-1590874103328-eac38a683ce7?auto=format&fit=crop&w=800&q=80
AUR-043,Clutch Fiesta Acrílico Mármol,Bolsos y Carteras,39.00,12,"Bolso de mano rígido con efecto mármol blanco y cadena dorada desmontable.",https://images.unsplash.com/photo-1566150905458-1bf1fc113f0d?auto=format&fit=crop&w=800&q=80
AUR-044,Bolso Bucket Cesta Ratán Natural,Bolsos y Carteras,44.00,14,"Cesta artesanal de ratán tejida a mano con forro de lino interno y asas de cuero.",https://images.unsplash.com/photo-1544816155-12df9643f363?auto=format&fit=crop&w=800&q=80
AUR-045,Mini Bag Cadena Gruesa Negra,Bolsos y Carteras,36.00,20,"Bolso compacto acolchado con asa de eslabones dorados llamativos.",https://images.unsplash.com/photo-1548036328-c9fa89d128fa?auto=format&fit=crop&w=800&q=80
AUR-046,Mochila Urbana Minimalista Taupe,Bolsos y Carteras,58.00,9,"Mochila ejecutiva delgada en piel vegana impermeable con múltiples bolsillos.",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&w=800&q=80
AUR-047,Bolso Baguette 90s Marfil,Bolsos y Carteras,38.00,18,"Bolso de hombro estilo vintage noventero en charol suave color marfil.",https://images.unsplash.com/photo-1591561954557-26941169b49e?auto=format&fit=crop&w=800&q=80
AUR-048,Shopper Lona Cruda Bordado Aura,Bolsos y Carteras,26.00,30,"Bolso shopper de lona resistente de 380g con logo sutil bordado al frente.",https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?auto=format&fit=crop&w=800&q=80
AUR-049,Monedero Tarjetero Piel Snake,Bolsos y Carteras,18.00,25,"Tarjetero compacto con 6 ranuras y bolsillo central con cremallera.",https://images.unsplash.com/photo-1627123424574-724758594e93?auto=format&fit=crop&w=800&q=80
AUR-050,Bolso Hobo Drapeado Oliva,Bolsos y Carteras,52.00,11,"Bolso suave y flexible con nudo decorativo en la base del asa.",https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?auto=format&fit=crop&w=800&q=80
AUR-051,Sandalias Tacón Bloque Nude,Calzado,58.00,10,"Sandalias de tacón medio cuadrado de 6cm en piel lisa con tiras tubulares finas.",https://images.unsplash.com/photo-1543163521-1bf539c55dd2?auto=format&fit=crop&w=800&q=80
AUR-052,Mules Planas Puntera Piel Negra,Calzado,49.00,14,"Zapatos planos destalonados en cuero genuino con punta afilada y hebilla dorada.",https://images.unsplash.com/photo-1535043934128-cf0b28d52f95?auto=format&fit=crop&w=800&q=80
AUR-053,Botines Cowgirl Camel Bordados,Calzado,79.00,8,"Botines camperos de caña media con detalles bordados tonales y tacón cubano.",https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?auto=format&fit=crop&w=800&q=80
AUR-054,Sandalias Pala Esparto Yute,Calzado,36.00,20,"Sandalias planas estilo alpargata con doble tira cruzada en tejido natural.",https://images.unsplash.com/photo-1562273138-f46be4ebdf33?auto=format&fit=crop&w=800&q=80
AUR-055,Stilettos Charol Rojo Escarlata,Calzado,65.00,7,"Zapatos de salón clásicos de 9cm en charol brillante rojo pasión.",https://images.unsplash.com/photo-1515347619252-60a4bf4fff4f?auto=format&fit=crop&w=800&q=80
AUR-056,Sneakers Retro Plataforma Blancas,Calzado,55.00,16,"Zapatillas deportivas urbanas de piel blanca con suela track ligera de 4cm.",https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?auto=format&fit=crop&w=800&q=80
AUR-057,Sandalias Plataforma Madera Vintage,Calzado,62.00,9,"Sandalias de verano con base de madera natural y tiras de cuero marrón cognac.",https://images.unsplash.com/photo-1535043934128-cf0b28d52f95?auto=format&fit=crop&w=800&q=80
AUR-058,Botas Altas Caña Recta Chocolate,Calzado,95.00,6,"Botas por debajo de la rodilla en cuero grabado con tacón geométrico cómodo.",https://images.unsplash.com/photo-1543163521-1bf539c55dd2?auto=format&fit=crop&w=800&q=80
AUR-059,Bailarinas Satinadas Lazo Negro,Calzado,42.00,15,"Bailarinas clásicas de satén negro con puntera redondeada y lacito fino.",https://images.unsplash.com/photo-1560769629-975ec94e6a86?auto=format&fit=crop&w=800&q=80
AUR-060,Sandalias Gladiator Cordón Dorado,Calzado,39.00,12,"Sandalias romanas con cordones para atar a la pantorrilla y plantilla acolchada.",https://images.unsplash.com/photo-1562273138-f46be4ebdf33?auto=format&fit=crop&w=800&q=80
AUR-061,Collar Cadena Eslabones Gruesos Oro,Joyería y Accesorios,28.00,20,"Gargantilla con baño de oro 18k de eslabones estilo cadena gourmette.",https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?auto=format&fit=crop&w=800&q=80
AUR-062,Pendientes Aros Irregulares Textura,Joyería y Accesorios,22.00,25,"Aros medianos bañados en oro con acabado orgánico martillado a mano.",https://images.unsplash.com/photo-1630019852942-f89202989a59?auto=format&fit=crop&w=800&q=80
AUR-063,Cinturón Cuero Hebilla Dorada Escultura,Joyería y Accesorios,32.00,18,"Cinturón ancho de piel negra con llamativa hebilla abstracta dorada.",https://images.unsplash.com/photo-1624222247344-550fb60583dc?auto=format&fit=crop&w=800&q=80
AUR-064,Gafas de Sol Ojo de Gato Carey,Joyería y Accesorios,35.00,15,"Gafas de sol cat-eye con montura de acetato carey y protección UV400.",https://images.unsplash.com/photo-1511499767150-a48a237f0083?auto=format&fit=crop&w=800&q=80
AUR-065,Pulsera Rígida Brazalete Minimal,Joyería y Accesorios,24.00,20,"Brazalete abierto ajustable bañado en plata 925 con terminaciones redondeadas.",https://images.unsplash.com/photo-1611591475103-4fa1b7765a7f?auto=format&fit=crop&w=800&q=80
AUR-066,Pañuelo Seda Estampado Floral 70x70,Joyería y Accesorios,26.00,22,"Foulard cuadrado de seda natural con estampado artístico para cuello o cabello.",https://images.unsplash.com/photo-1601924994987-69e26d50dc26?auto=format&fit=crop&w=800&q=80
AUR-067,Sombrero Fedora Fieltro Lana Beige,Joyería y Accesorios,45.00,8,"Sombrero clásico de ala ancha confeccionado en fieltro de lana 100% con cinta de cuero.",https://images.unsplash.com/photo-1514327605112-b887c0e61c0a?auto=format&fit=crop&w=800&q=80
AUR-068,Set 3 Anillos Sellos Geométricos,Joyería y Accesorios,25.00,18,"Trío de anillos combinables con incrustación de circonitas y baño de oro.",https://images.unsplash.com/photo-1605100804763-247f67b3557e?auto=format&fit=crop&w=800&q=80
AUR-069,Gafas de Sol Rectangulares 90s Negras,Joyería y Accesorios,30.00,16,"Montura rectangular delgada estilo retro en negro brillante con cristales oscuros.",https://images.unsplash.com/photo-1572635196237-14b3f281503f?auto=format&fit=crop&w=800&q=80
AUR-070,Horquillas Pelo Perlas Barrocas (Pack 4),Joyería y Accesorios,15.00,30,"Set de cuatro pasadores dorados adornados con perlas cultivadas de agua dulce.",https://images.unsplash.com/photo-1588850561407-ed78c282e89b?auto=format&fit=crop&w=800&q=80
AUR-071,Top Deportivo Sin Costuras Grafito,Activewear,28.00,20,"Sujetador deportivo de sujeción media con tejido transpirable y tirantes cruzados.",https://images.unsplash.com/photo-1518611012118-696072aa579a?auto=format&fit=crop&w=800&q=80
AUR-072,Leggings Compresión Tiro Alto Moca,Activewear,38.00,25,"Mallas deportivas efecto moldeador a prueba de sentadillas con bolsillo oculto.",https://images.unsplash.com/photo-1506126613408-eca07ce68773?auto=format&fit=crop&w=800&q=80
AUR-073,Chaqueta Deportiva Cremallera Arena,Activewear,45.00,14,"Chaqueta entallada con orificio para pulgar en puños y cuello alzado térmico.",https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?auto=format&fit=crop&w=800&q=80
AUR-074,Biker Shorts Moldeadores Verde Bosque,Activewear,26.00,22,"Malla corta ciclista de 8 pulgadas con cintura alta antipresión.",https://images.unsplash.com/photo-1544441893-675973e31985?auto=format&fit=crop&w=800&q=80
AUR-075,Mono Enterizo Yoga Espalda Abierta,Activewear,52.00,10,"Catsuit enterizo para yoga y pilates en tejido microfibra elástica de alto rendimiento.",https://images.unsplash.com/photo-1518611012118-696072aa579a?auto=format&fit=crop&w=800&q=80
AUR-076,Gorra Algodón Lavado Bordada,Activewear,18.00,30,"Gorra estilo dad cap con visera curvada y cierre metálico regulable.",https://images.unsplash.com/photo-1588850561407-ed78c282e89b?auto=format&fit=crop&w=800&q=80
AUR-077,Bañador Asimétrico Volante Terracota,Activewear,46.00,12,"Traje de baño de una pieza con corte diagonal y tejido doble forrado reductor.",https://images.unsplash.com/photo-1566174053879-31528523f8ae?auto=format&fit=crop&w=800&q=80
AUR-078,Bikini Triángulo Ajustable Oliva,Activewear,40.00,15,"Conjunto de dos piezas con top de cortinilla y braguita anudable a los lados.",https://images.unsplash.com/photo-1534528741775-53994a69daeb?auto=format&fit=crop&w=800&q=80
AUR-079,Vestido Playero Gasa Crochet Crudo,Activewear,39.00,14,"Cubrebañador calado de punto crochet con aberturas laterales y tacto ligero.",https://images.unsplash.com/photo-1496747611176-843222e1e57c?auto=format&fit=crop&w=800&q=80
AUR-080,Calcetines Deportivos Canalé Vintage (Pack 3),Activewear,14.00,35,"Pack de tres pares de calcetines medios de algodón peinado con rayas clásicas.",https://images.unsplash.com/photo-1582418702059-97ebafb35d09?auto=format&fit=crop&w=800&q=80
AUR-081,Pijama Seda Camisero Rosa Palo,Loungewear,58.00,12,"Conjunto de dos piezas de camisa de botones y pantalón largo en satén ultra suave.",https://images.unsplash.com/photo-1515372039744-b8f02a3ae446?auto=format&fit=crop&w=800&q=80
AUR-082,Bata Kimono Corta Encaje Champagne,Loungewear,44.00,15,"Bata envolvente con mangas acampanadas y terminaciones en fino encaje chantilly.",https://images.unsplash.com/photo-1566174053879-31528523f8ae?auto=format&fit=crop&w=800&q=80
AUR-083,Camisón Tirantes Encaje Negro,Loungewear,36.00,18,"Vestido lencero corto de noche con tirantes finos regulables y escote drapeado.",https://images.unsplash.com/photo-1539008835657-9e8e9680c956?auto=format&fit=crop&w=800&q=80
AUR-084,Set Pantalón y Top Punto Nube Beige,Loungewear,52.00,14,"Conjunto comfy de salón de tacto peluche súper suave para estar cómoda en casa.",https://images.unsplash.com/photo-1434389677669-e08b4cac3105?auto=format&fit=crop&w=800&q=80
AUR-085,Pantuflas Suaves Piel Oveja Sintética,Loungewear,28.00,20,"Zapatillas de casa abiertas con suela antideslizante y forro esponjoso.",https://images.unsplash.com/photo-1535043934128-cf0b28d52f95?auto=format&fit=crop&w=800&q=80
AUR-086,Antifaz Seda Pura Morera,Loungewear,16.00,25,"Máscara para dormir rellena de seda natural que cuida la piel del contorno de ojos.",https://images.unsplash.com/photo-1601924994987-69e26d50dc26?auto=format&fit=crop&w=800&q=80
AUR-087,Shorts Algodón Orgánico Rayas Azul,Loungewear,22.00,22,"Pantalón corto estilo bóxer de pijama con cintura elástica suave y lazo.",https://images.unsplash.com/photo-1598554747436-c9293d6a588f?auto=format&fit=crop&w=800&q=80
AUR-088,Camiseta Oversize Algodón Pima Crudo,Loungewear,25.00,30,"Camiseta básica de manga caída confeccionada en algodón pima prémium.",https://images.unsplash.com/photo-1521572267360-ee0c2909d518?auto=format&fit=crop&w=800&q=80
AUR-089,Sudadera Cuello Redondo Terracota,Loungewear,42.00,16,"Sudadera relajada sin capucha con interior perchado cálido y remates en canalé.",https://images.unsplash.com/photo-1556905055-8f358a7a47b2?auto=format&fit=crop&w=800&q=80
AUR-090,Joggers Afelpados Pierna Recta Arena,Loungewear,39.00,18,"Pantalón de chándal elegante de tiro alto con bolsillos laterales y cordón ajustable.",https://images.unsplash.com/photo-1517445312882-bc9910d016b7?auto=format&fit=crop&w=800&q=80
AUR-091,Perfume Botánico Higo & Sándalo 50ml,Fragancias y Belleza,48.00,15,"Eau de parfum con notas altas de hojas de higuera corazón de cedro y fondo de sándalo.",https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&w=800&q=80
AUR-092,Vela Aromática Soja Jazmín & Ámbar,Fragancias y Belleza,24.00,25,"Vela de cera 100% vegetal vertida a mano en vaso de cerámica artesanal mate.",https://images.unsplash.com/photo-1603006905003-be475563bc59?auto=format&fit=crop&w=800&q=80
AUR-093,Bruma Facial Hidratante Rosa Damascena,Fragancias y Belleza,19.00,20,"Tónico refrescante formulado con agua pura de rosas y ácido hialurónico.",https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=800&q=80
AUR-094,Aceite Corporal Seco Brillo Dorado,Fragancias y Belleza,32.00,18,"Aceite nutritivo enriquecido con macadamia y micropartículas doradas iluminadoras.",https://images.unsplash.com/photo-1601049541289-9b1b7bbbfe19?auto=format&fit=crop&w=800&q=80
AUR-095,Difusor Varillas Mikado Vainilla Bourbon,Fragancias y Belleza,29.00,16,"Ambientador para el hogar de larga duración con varillas de ratán negro.",https://images.unsplash.com/photo-1508746829417-e6f548d8d6ed?auto=format&fit=crop&w=800&q=80
AUR-096,Crema Manos Reparadora Karité & Almendra,Fragancias y Belleza,15.00,30,"Bálsamo de absorción rápida enriquecido con manteca de karité pura al 20%.",https://images.unsplash.com/photo-1571781926291-c477ebfd024b?auto=format&fit=crop&w=800&q=80
AUR-097,Exfoliante Corporal Sal Rosa & Eucalipto,Fragancias y Belleza,22.00,18,"Exfoliante revitalizante con cristales de sal del Himalaya y aceites esenciales.",https://images.unsplash.com/photo-1527799820374-dcf8d9d4a388?auto=format&fit=crop&w=800&q=80
AUR-098,Bálsamo Labial Cera Abejas & Menta,Fragancias y Belleza,8.00,40,"Tratamiento intensivo para labios secos con efecto refrescante prolongado.",https://images.unsplash.com/photo-1617897903246-719242758050?auto=format&fit=crop&w=800&q=80
AUR-099,Jabón Artesanal Arcilla Rosa y Lavanda,Fragancias y Belleza,10.00,35,"Pastilla de jabón saponificada en frío adecuada para pieles sensibles.",https://images.unsplash.com/photo-1607006314605-7bac477fb93b?auto=format&fit=crop&w=800&q=80
AUR-100,Kit Spa en Casa Ritual Relajación Aura,Fragancias y Belleza,65.00,8,"Caja de regalo prémium con vela de soja aceite corporal exfoliante y jabón artesanal.",https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=800&q=80
